id|variable|description
1|gender|Gender - student's gender (nominal: 'Male' or 'Female’)
2|national_i_ty| Nationality- student's nationality (nominal:’ Kuwait’,’ Lebanon’,’ Egypt’,’ SaudiArabia’,’ USA’,’ Jordan’,’ Venezuela’,’ Iran’,’ Tunis’,’ Morocco’,’ Syria’,’ Palestine’,’ Iraq’,’ Lybia’)
3|placeof_birth| Place of birth- student's Place of birth (nominal:’ Kuwait’,’ Lebanon’,’ Egypt’,’ SaudiArabia’,’ USA’,’ Jordan’,’ Venezuela’,’ Iran’,’ Tunis’,’ Morocco’,’ Syria’,’ Palestine’,’ Iraq’,’ Lybia’)
4|stage_id|Educational Stages- educational level student belongs (nominal: ‘lowerlevel’,’MiddleSchool’,’HighSchool’)
5|grade_id| Grade Levels- grade student belongs (nominal: ‘G-01’, ‘G-02’, ‘G-03’, ‘G-04’, ‘G-05’, ‘G-06’, ‘G-07’, ‘G-08’, ‘G-09’, ‘G-10’, ‘G-11’, ‘G-12 ‘)
6|section_id| Section ID- classroom student belongs (nominal:’A’,’B’,’C’)
7|topic| Topic- course topic (nominal:’ English’,’ Spanish’, ‘French’,’ Arabic’,’ IT’,’ Math’,’ Chemistry’, ‘Biology’, ‘Science’,’ History’,’ Quran’,’ Geology’)
8|semester|Semester- school year semester (nominal:’ First’,’ Second’)
9|relation|Parent responsible for student (nominal:’mom’,’father’)
10|raisedhands| Raised hand- how many times the student raises his/her hand on classroom (numeric:0-100)
11|vis_i_ted_resources| Visited resources- how many times the student visits a course content(numeric:0-100)
12|announcements_view| Viewing announcements-how many times the student checks the new announcements(numeric:0-100)
13|discussion| Discussion groups- how many times the student participate on discussion groups (numeric:0-100)
14|parent_answering_survey| Parent Answering Survey- parent answered the surveys which are provided from school or not (nominal:’Yes’,’No’)
15|parentschool_satisfaction| Parent School Satisfaction- the Degree of parent satisfaction from school(nominal:’Yes’,’No’)
16|student_absence_days| Student Absence Days-the number of absence days for each student (nominal: above-7, under-7)
17|class|Total grade (Low-Level: interval includes values from 0 to 69, Middle-Level: interval includes values from 70 to 89, High-Level: interval includes values from 90-100.)
